Program,Issue,Prescriptiveness,Strictist,Change,Year,
FSC-US,Forest extent,3,1,Became more prescriptive,2010,
FSC-US,Conservation Value Forests,3,1,Became more prescriptive,2010,
FSC-US,Protected areas,3,1,Became more prescriptive,2010,
FSC-US,Ecosystem function,3,1,Became more prescriptive,2010,
FSC-US,Old growth,3,1,Became more prescriptive,2010,
FSC-US,Clearcutting,3,1,Became more prescriptive,2010,
FSC-US,Snags and wood,3,1,Became more prescriptive,2010,
FSC-US,Plantations,3,1,Became more prescriptive,2010,
FSC-US,Species diversity,3,1,No change,2010,
FSC-US,Species at risk,3,1,Became more prescriptive,2010,
FSC-US,Exotics,3,1,No change,2010,
FSC-US,GMOs,3,1,No change,2010,
FSC-US,Restoration,3,1,Became more prescriptive,2010,
FSC-US,Natual disturbance,3,1,No change,2010,
FSC-US,Chemicals,3,1,No change,2010,
FSC-US,Timber production,3,1,No change,2010,
FSC-US,NTFP,3,1,Became more prescriptive,2010,
FSC-US,Ecosystem services,3,0,No change,2010,
FSC-US,Reforestation,3,0,No change,2010,
FSC-US,Soil,3,1,Became more prescriptive,2010,
FSC-US,Riparian ,3,1,No change,2010,
FSC-US,Roads ,3,1,No change,2010,
FSC-US,Tribal land,3,1,No change,2010,
FSC-US,Special sites,3,1,No change,2010,
FSC-US,Traditional knowledge,3,1,No change,2010,
FSC-US,Community benefit,3,1,Became less prescriptive,2010,
FSC-US,Right to organize,3,1,No change,2010,
FSC-US,Wages,3,1,No change,2010,
FSC-US,Health and safety,3,1,No change,2010,
FSC-US,Public reporting and consultation,3,1,Became more prescriptive,2010,
FSC-US,Public lands,3,1,Became more prescriptive,2010,
FSC-US,Tenure,3,1,Became less prescriptive,2010,
FSC-US,Management plan,3,1,Became more prescriptive,2010,
FSC-US,Impact assessment,3,1,No change,2010,
FSC-US,Monitoring,3,1,No change,2010,
FSC-US,Biotech,3,1,No change,2010,
FSC-US,Aesthetics,3,0,Became less prescriptive,2010,
FSC-US,Economic viability,3,1,No change,2010,
FSC-US,Forest law,3,0,No change,2010,
FSC-US,Genetic diversity ,3,1,Became more prescriptive,2010,
FSC-US,Public access,3,1,Became more prescriptive,2010,
FSC-US,Residual trees ,3,1,Became more prescriptive,2010,
FSC-US,Utilization,2,0,No change,2010,
FSC-US,Contual Improvement,2,0,Became more prescriptive,2010,
FSC-US,Training,2,0,Became less prescriptive,2010,
FSC-US,Education,2,0,No change,2010,
FSC-US,Carbon,3,0,Became more prescriptive,2010,
FSC-US,Research,1,0,No change,2010,
FSC-US,Forest extent,3,1,No change,2009,
FSC-US,Conservation Value Forests,3,1,No change,2009,
FSC-US,Protected areas,3,1,No change,2009,
FSC-US,Ecosystem function,3,1,No change,2009,
FSC-US,Old growth,3,1,No change,2009,
FSC-US,Clearcutting,3,1,No change,2009,
FSC-US,Snags and wood,3,1,No change,2009,
FSC-US,Plantations,3,1,No change,2009,
FSC-US,Species diversity,3,1,No change,2009,
FSC-US,Species at risk,3,1,No change,2009,
FSC-US,Exotics,3,1,No change,2009,
FSC-US,GMOs,3,1,No change,2009,
FSC-US,Restoration,3,1,No change,2009,
FSC-US,Natual disturbance,3,1,No change,2009,
FSC-US,Chemicals,3,1,No change,2009,
FSC-US,Timber production,3,1,No change,2009,
FSC-US,NTFP,3,1,No change,2009,
FSC-US,Ecosystem services,3,0,No change,2009,
FSC-US,Reforestation,3,0,No change,2009,
FSC-US,Soil,3,1,No change,2009,
FSC-US,Riparian ,3,1,No change,2009,
FSC-US,Roads ,3,1,No change,2009,
FSC-US,Tribal land,3,1,No change,2009,
FSC-US,Special sites,3,1,No change,2009,
FSC-US,Traditional knowledge,3,1,No change,2009,
FSC-US,Community benefit,3,1,No change,2009,
FSC-US,Right to organize,3,1,No change,2009,
FSC-US,Wages,3,1,No change,2009,
FSC-US,Health and safety,3,1,No change,2009,
FSC-US,Public reporting and consultation,3,1,No change,2009,
FSC-US,Public lands,3,1,No change,2009,
FSC-US,Tenure,3,1,No change,2009,
FSC-US,Management plan,3,1,No change,2009,
FSC-US,Impact assessment,3,1,No change,2009,
FSC-US,Monitoring,3,1,No change,2009,
FSC-US,Biotech,3,1,No change,2009,
FSC-US,Aesthetics,3,0,No change,2009,
FSC-US,Economic viability,3,1,No change,2009,
FSC-US,Forest law,3,0,No change,2009,
FSC-US,Genetic diversity ,3,1,No change,2009,
FSC-US,Public access,3,1,No change,2009,
FSC-US,Residual trees ,3,1,No change,2009,
FSC-US,Utilization,2,0,No change,2009,
FSC-US,Contual Improvement,2,0,No change,2009,
FSC-US,Training,2,0,No change,2009,
FSC-US,Education,2,0,No change,2009,
FSC-US,Carbon,1,0,No change,2009,
FSC-US,Research,1,0,No change,2009,
FSC-US,Forest extent,3,1,No change,2008,
FSC-US,Conservation Value Forests,3,1,No change,2008,
FSC-US,Protected areas,3,1,No change,2008,
FSC-US,Ecosystem function,3,1,No change,2008,
FSC-US,Old growth,3,1,No change,2008,
FSC-US,Clearcutting,3,1,No change,2008,
FSC-US,Snags and wood,3,1,No change,2008,
FSC-US,Plantations,3,1,No change,2008,
FSC-US,Species diversity,3,1,No change,2008,
FSC-US,Species at risk,3,1,No change,2008,
FSC-US,Exotics,3,1,No change,2008,
FSC-US,GMOs,3,1,No change,2008,
FSC-US,Restoration,3,1,No change,2008,
FSC-US,Natual disturbance,3,1,No change,2008,
FSC-US,Chemicals,3,1,No change,2008,
FSC-US,Timber production,3,1,No change,2008,
FSC-US,NTFP,3,1,No change,2008,
FSC-US,Ecosystem services,3,0,No change,2008,
FSC-US,Reforestation,3,0,No change,2008,
FSC-US,Soil,3,1,No change,2008,
FSC-US,Riparian ,3,1,No change,2008,
FSC-US,Roads ,3,1,No change,2008,
FSC-US,Tribal land,3,1,No change,2008,
FSC-US,Special sites,3,1,No change,2008,
FSC-US,Traditional knowledge,3,1,No change,2008,
FSC-US,Community benefit,3,1,No change,2008,
FSC-US,Right to organize,3,1,No change,2008,
FSC-US,Wages,3,1,No change,2008,
FSC-US,Health and safety,3,1,No change,2008,
FSC-US,Public reporting and consultation,3,1,No change,2008,
FSC-US,Public lands,3,1,No change,2008,
FSC-US,Tenure,3,1,No change,2008,
FSC-US,Management plan,3,1,No change,2008,
FSC-US,Impact assessment,3,1,No change,2008,
FSC-US,Monitoring,3,1,No change,2008,
FSC-US,Biotech,3,1,No change,2008,
FSC-US,Aesthetics,3,0,No change,2008,
FSC-US,Economic viability,3,1,No change,2008,
FSC-US,Forest law,3,0,No change,2008,
FSC-US,Genetic diversity ,3,1,No change,2008,
FSC-US,Public access,3,1,No change,2008,
FSC-US,Residual trees ,3,1,No change,2008,
FSC-US,Utilization,2,0,No change,2008,
FSC-US,Contual Improvement,2,0,No change,2008,
FSC-US,Training,2,0,No change,2008,
FSC-US,Education,2,0,No change,2008,
FSC-US,Carbon,1,0,No change,2008,
FSC-US,Research,1,0,No change,2008,
FSC-US,Forest extent,3,1,No change,2011,
FSC-US,Conservation Value Forests,3,1,No change,2011,
FSC-US,Protected areas,3,1,No change,2011,
FSC-US,Ecosystem function,3,1,No change,2011,
FSC-US,Old growth,3,1,No change,2011,
FSC-US,Clearcutting,3,1,No change,2011,
FSC-US,Snags and wood,3,1,No change,2011,
FSC-US,Plantations,3,1,No change,2011,
FSC-US,Species diversity,3,1,No change,2011,
FSC-US,Species at risk,3,1,No change,2011,
FSC-US,Exotics,3,1,No change,2011,
FSC-US,GMOs,3,1,No change,2011,
FSC-US,Restoration,3,1,No change,2011,
FSC-US,Natual disturbance,3,1,No change,2011,
FSC-US,Chemicals,3,1,No change,2011,
FSC-US,Timber production,3,1,No change,2011,
FSC-US,NTFP,3,1,No change,2011,
FSC-US,Ecosystem services,3,0,No change,2011,
FSC-US,Reforestation,3,0,No change,2011,
FSC-US,Soil,3,1,No change,2011,
FSC-US,Riparian ,3,1,No change,2011,
FSC-US,Roads ,3,1,No change,2011,
FSC-US,Tribal land,3,1,No change,2011,
FSC-US,Special sites,3,1,No change,2011,
FSC-US,Traditional knowledge,3,1,No change,2011,
FSC-US,Community benefit,3,1,No change,2011,
FSC-US,Right to organize,3,1,No change,2011,
FSC-US,Wages,3,1,No change,2011,
FSC-US,Health and safety,3,1,No change,2011,
FSC-US,Public reporting and consultation,3,1,No change,2011,
FSC-US,Public lands,3,1,No change,2011,
FSC-US,Tenure,3,1,No change,2011,
FSC-US,Management plan,3,1,No change,2011,
FSC-US,Impact assessment,3,1,No change,2011,
FSC-US,Monitoring,3,1,No change,2011,
FSC-US,Biotech,3,1,No change,2011,
FSC-US,Aesthetics,3,0,No change,2011,
FSC-US,Economic viability,3,1,No change,2011,
FSC-US,Forest law,3,0,No change,2011,
FSC-US,Genetic diversity ,3,1,No change,2011,
FSC-US,Public access,3,1,No change,2011,
FSC-US,Residual trees ,3,1,No change,2011,
FSC-US,Utilization,2,0,No change,2011,
FSC-US,Contual Improvement,2,0,No change,2011,
FSC-US,Training,2,0,No change,2011,
FSC-US,Education,2,0,No change,2011,
FSC-US,Carbon,3,0,No change,2011,
FSC-US,Research,1,0,No change,2011,
FSC-US,Forest extent,3,1,No change,2012,
FSC-US,Conservation Value Forests,3,1,No change,2012,
FSC-US,Protected areas,3,1,No change,2012,
FSC-US,Ecosystem function,3,1,No change,2012,
FSC-US,Old growth,3,1,No change,2012,
FSC-US,Clearcutting,3,1,No change,2012,
FSC-US,Snags and wood,3,1,No change,2012,
FSC-US,Plantations,3,1,No change,2012,
FSC-US,Species diversity,3,1,No change,2012,
FSC-US,Species at risk,3,1,No change,2012,
FSC-US,Exotics,3,1,No change,2012,
FSC-US,GMOs,3,1,No change,2012,
FSC-US,Restoration,3,1,No change,2012,
FSC-US,Natual disturbance,3,1,No change,2012,
FSC-US,Chemicals,3,1,No change,2012,
FSC-US,Timber production,3,1,No change,2012,
FSC-US,NTFP,3,1,No change,2012,
FSC-US,Ecosystem services,3,0,No change,2012,
FSC-US,Reforestation,3,0,No change,2012,
FSC-US,Soil,3,1,No change,2012,
FSC-US,Riparian ,3,1,No change,2012,
FSC-US,Roads ,3,1,No change,2012,
FSC-US,Tribal land,3,1,No change,2012,
FSC-US,Special sites,3,1,No change,2012,
FSC-US,Traditional knowledge,3,1,No change,2012,
FSC-US,Community benefit,3,1,No change,2012,
FSC-US,Right to organize,3,1,No change,2012,
FSC-US,Wages,3,1,No change,2012,
FSC-US,Health and safety,3,1,No change,2012,
FSC-US,Public reporting and consultation,3,1,No change,2012,
FSC-US,Public lands,3,1,No change,2012,
FSC-US,Tenure,3,1,No change,2012,
FSC-US,Management plan,3,1,No change,2012,
FSC-US,Impact assessment,3,1,No change,2012,
FSC-US,Monitoring,3,1,No change,2012,
FSC-US,Biotech,3,1,No change,2012,
FSC-US,Aesthetics,3,0,No change,2012,
FSC-US,Economic viability,3,1,No change,2012,
FSC-US,Forest law,3,0,No change,2012,
FSC-US,Genetic diversity ,3,1,No change,2012,
FSC-US,Public access,3,1,No change,2012,
FSC-US,Residual trees ,3,1,No change,2012,
FSC-US,Utilization,2,0,No change,2012,
FSC-US,Contual Improvement,2,0,No change,2012,
FSC-US,Training,2,0,No change,2012,
FSC-US,Education,2,0,No change,2012,
FSC-US,Carbon,3,0,No change,2012,
FSC-US,Research,1,0,No change,2012,
FSC-US,Forest extent,3,1,No change,2013,
FSC-US,Conservation Value Forests,3,1,No change,2013,
FSC-US,Protected areas,3,1,No change,2013,
FSC-US,Ecosystem function,3,1,No change,2013,
FSC-US,Old growth,3,1,No change,2013,
FSC-US,Clearcutting,3,1,No change,2013,
FSC-US,Snags and wood,3,1,No change,2013,
FSC-US,Plantations,3,1,No change,2013,
FSC-US,Species diversity,3,1,No change,2013,
FSC-US,Species at risk,3,1,No change,2013,
FSC-US,Exotics,3,1,No change,2013,
FSC-US,GMOs,3,1,No change,2013,
FSC-US,Restoration,3,1,No change,2013,
FSC-US,Natual disturbance,3,1,No change,2013,
FSC-US,Chemicals,3,1,No change,2013,
FSC-US,Timber production,3,1,No change,2013,
FSC-US,NTFP,3,1,No change,2013,
FSC-US,Ecosystem services,3,0,No change,2013,
FSC-US,Reforestation,3,0,No change,2013,
FSC-US,Soil,3,1,No change,2013,
FSC-US,Riparian ,3,1,No change,2013,
FSC-US,Roads ,3,1,No change,2013,
FSC-US,Tribal land,3,1,No change,2013,
FSC-US,Special sites,3,1,No change,2013,
FSC-US,Traditional knowledge,3,1,No change,2013,
FSC-US,Community benefit,3,1,No change,2013,
FSC-US,Right to organize,3,1,No change,2013,
FSC-US,Wages,3,1,No change,2013,
FSC-US,Health and safety,3,1,No change,2013,
FSC-US,Public reporting and consultation,3,1,No change,2013,
FSC-US,Public lands,3,1,No change,2013,
FSC-US,Tenure,3,1,No change,2013,
FSC-US,Management plan,3,1,No change,2013,
FSC-US,Impact assessment,3,1,No change,2013,
FSC-US,Monitoring,3,1,No change,2013,
FSC-US,Biotech,3,1,No change,2013,
FSC-US,Aesthetics,3,0,No change,2013,
FSC-US,Economic viability,3,1,No change,2013,
FSC-US,Forest law,3,0,No change,2013,
FSC-US,Genetic diversity ,3,1,No change,2013,
FSC-US,Public access,3,1,No change,2013,
FSC-US,Residual trees ,3,1,No change,2013,
FSC-US,Utilization,2,0,No change,2013,
FSC-US,Contual Improvement,2,0,No change,2013,
FSC-US,Training,2,0,No change,2013,
FSC-US,Education,2,0,No change,2013,
FSC-US,Carbon,3,0,No change,2013,
FSC-US,Research,1,0,No change,2013,
FSC-US,Forest extent,3,1,No change,2014,
FSC-US,Conservation Value Forests,3,1,No change,2014,
FSC-US,Protected areas,3,1,No change,2014,
FSC-US,Ecosystem function,3,1,No change,2014,
FSC-US,Old growth,3,1,No change,2014,
FSC-US,Clearcutting,3,1,No change,2014,
FSC-US,Snags and wood,3,1,No change,2014,
FSC-US,Plantations,3,1,No change,2014,
FSC-US,Species diversity,3,1,No change,2014,
FSC-US,Species at risk,3,1,No change,2014,
FSC-US,Exotics,3,1,No change,2014,
FSC-US,GMOs,3,1,No change,2014,
FSC-US,Restoration,3,1,No change,2014,
FSC-US,Natual disturbance,3,1,No change,2014,
FSC-US,Chemicals,3,1,No change,2014,
FSC-US,Timber production,3,1,No change,2014,
FSC-US,NTFP,3,1,No change,2014,
FSC-US,Ecosystem services,3,0,No change,2014,
FSC-US,Reforestation,3,0,No change,2014,
FSC-US,Soil,3,1,No change,2014,
FSC-US,Riparian ,3,1,No change,2014,
FSC-US,Roads ,3,1,No change,2014,
FSC-US,Tribal land,3,1,No change,2014,
FSC-US,Special sites,3,1,No change,2014,
FSC-US,Traditional knowledge,3,1,No change,2014,
FSC-US,Community benefit,3,1,No change,2014,
FSC-US,Right to organize,3,1,No change,2014,
FSC-US,Wages,3,1,No change,2014,
FSC-US,Health and safety,3,1,No change,2014,
FSC-US,Public reporting and consultation,3,1,No change,2014,
FSC-US,Public lands,3,1,No change,2014,
FSC-US,Tenure,3,1,No change,2014,
FSC-US,Management plan,3,1,No change,2014,
FSC-US,Impact assessment,3,1,No change,2014,
FSC-US,Monitoring,3,1,No change,2014,
FSC-US,Biotech,3,1,No change,2014,
FSC-US,Aesthetics,3,0,No change,2014,
FSC-US,Economic viability,3,1,No change,2014,
FSC-US,Forest law,3,0,No change,2014,
FSC-US,Genetic diversity ,3,1,No change,2014,
FSC-US,Public access,3,1,No change,2014,
FSC-US,Residual trees ,3,1,No change,2014,
FSC-US,Utilization,2,0,No change,2014,
FSC-US,Contual Improvement,2,0,No change,2014,
FSC-US,Training,2,0,No change,2014,
FSC-US,Education,2,0,No change,2014,
FSC-US,Carbon,3,0,No change,2014,
FSC-US,Research,1,0,No change,2014,
FSC-US,Forest extent,3,1,No change,2015,
FSC-US,Conservation Value Forests,3,1,No change,2015,
FSC-US,Protected areas,3,1,No change,2015,
FSC-US,Ecosystem function,3,1,No change,2015,
FSC-US,Old growth,3,1,No change,2015,
FSC-US,Clearcutting,3,1,No change,2015,
FSC-US,Snags and wood,3,1,No change,2015,
FSC-US,Plantations,3,1,No change,2015,
FSC-US,Species diversity,3,1,No change,2015,
FSC-US,Species at risk,3,1,No change,2015,
FSC-US,Exotics,3,1,No change,2015,
FSC-US,GMOs,3,1,No change,2015,
FSC-US,Restoration,3,1,No change,2015,
FSC-US,Natual disturbance,3,1,No change,2015,
FSC-US,Chemicals,3,1,No change,2015,
FSC-US,Timber production,3,1,No change,2015,
FSC-US,NTFP,3,1,No change,2015,
FSC-US,Ecosystem services,3,0,No change,2015,
FSC-US,Reforestation,3,0,No change,2015,
FSC-US,Soil,3,1,No change,2015,
FSC-US,Riparian ,3,1,No change,2015,
FSC-US,Roads ,3,1,No change,2015,
FSC-US,Tribal land,3,1,No change,2015,
FSC-US,Special sites,3,1,No change,2015,
FSC-US,Traditional knowledge,3,1,No change,2015,
FSC-US,Community benefit,3,1,No change,2015,
FSC-US,Right to organize,3,1,No change,2015,
FSC-US,Wages,3,1,No change,2015,
FSC-US,Health and safety,3,1,No change,2015,
FSC-US,Public reporting and consultation,3,1,No change,2015,
FSC-US,Public lands,3,1,No change,2015,
FSC-US,Tenure,3,1,No change,2015,
FSC-US,Management plan,3,1,No change,2015,
FSC-US,Impact assessment,3,1,No change,2015,
FSC-US,Monitoring,3,1,No change,2015,
FSC-US,Biotech,3,1,No change,2015,
FSC-US,Aesthetics,3,0,No change,2015,
FSC-US,Economic viability,3,1,No change,2015,
FSC-US,Forest law,3,0,No change,2015,
FSC-US,Genetic diversity ,3,1,No change,2015,
FSC-US,Public access,3,1,No change,2015,
FSC-US,Residual trees ,3,1,No change,2015,
FSC-US,Utilization,2,0,No change,2015,
FSC-US,Contual Improvement,2,0,No change,2015,
FSC-US,Training,2,0,No change,2015,
FSC-US,Education,2,0,No change,2015,
FSC-US,Carbon,3,0,No change,2015,
FSC-US,Research,1,0,No change,2015,
FSC-US,Forest extent,3,1,No change,2016,
FSC-US,Conservation Value Forests,3,1,No change,2016,
FSC-US,Protected areas,3,1,No change,2016,
FSC-US,Ecosystem function,3,1,No change,2016,
FSC-US,Old growth,3,1,No change,2016,
FSC-US,Clearcutting,3,1,No change,2016,
FSC-US,Snags and wood,3,1,No change,2016,
FSC-US,Plantations,3,1,No change,2016,
FSC-US,Species diversity,3,1,No change,2016,
FSC-US,Species at risk,3,1,No change,2016,
FSC-US,Exotics,3,1,No change,2016,
FSC-US,GMOs,3,1,No change,2016,
FSC-US,Restoration,3,1,No change,2016,
FSC-US,Natual disturbance,3,1,No change,2016,
FSC-US,Chemicals,3,1,No change,2016,
FSC-US,Timber production,3,1,No change,2016,
FSC-US,NTFP,3,1,No change,2016,
FSC-US,Ecosystem services,3,0,No change,2016,
FSC-US,Reforestation,3,0,No change,2016,
FSC-US,Soil,3,1,No change,2016,
FSC-US,Riparian ,3,1,No change,2016,
FSC-US,Roads ,3,1,No change,2016,
FSC-US,Tribal land,3,1,No change,2016,
FSC-US,Special sites,3,1,No change,2016,
FSC-US,Traditional knowledge,3,1,No change,2016,
FSC-US,Community benefit,3,1,No change,2016,
FSC-US,Right to organize,3,1,No change,2016,
FSC-US,Wages,3,1,No change,2016,
FSC-US,Health and safety,3,1,No change,2016,
